ticket_id,ticket_text,category,priority
INC-2026000,My credit card was charged twice for the monthly subscription on 24-05-2026. Please refund $72.,Billing,High
INC-2026001,"Hey, Is it possible to switch my billing from monthly to yearly to get a discount?",Billing,Low
INC-2026002,Can you reset my password? I forgot it and need access.,Account Access,Low
INC-2026003,"My profile information is not updating when I save changes.
Regards,
David",Account Access,Low
INC-2026004,"Hey, The search bar returns incorrect results for simple queries.
Sincerely,
Daniel",Technical Issue,Low
INC-2026005,"Good morning, I am unable to receive password reset emails. The mail server seems down.
Sincerely,
Amanda",Technical Issue,High
INC-2026006,"Where can I find your API documentation and developers SDK guides?
- Amanda",General Query,Low
INC-2026007,"Greetings, Do you offer discounts for non-profit organizations or educational schools?
- Amanda",General Query,Low
INC-2026008,"Hey, Can you cancel my subscription and stop auto-renewal? Ticket id: TKT-48469
Best regards,
Emily",Billing,Medium
INC-2026009,"Can you cancel my subscription and stop auto-renewal? Ticket id: TKT-31174
Regards,
Amanda",Billing,Medium
INC-2026010,"The website crashes whenever I try to upload my profile photo or files.
- Emily",Technical Issue,Medium
INC-2026011,Is there a feature to export reports as PDF or CSV?,General Query,Low
INC-2026012,"Hi support team, I received a payment failure notification but my credit card has sufficient funds.
Regards,
David",Billing,Medium
INC-2026013,"Hello team, Is there a feature to export reports as PDF or CSV?
Thank you,
David",General Query,Low
INC-2026014,"Good morning, Can you cancel my subscription and stop auto-renewal? Ticket id: TKT-24322",Billing,Medium
INC-2026015,"Greetings, Is there a feature to export reports as PDF or CSV?",General Query,Low
INC-2026016,What are your business hours and customer support availability on weekends?,General Query,Low
INC-2026017,"I was billed $22 during my free trial period. Please check and refund.
Thank you,
Emily",Billing,High
INC-2026018,"Dear Support, I received a payment failure notification but my credit card has sufficient funds.",Billing,Medium
INC-2026019,"I am unable to receive password reset emails. The mail server seems down.
Thanks,
Sarah",Technical Issue,High
INC-2026020,"The search bar returns incorrect results for simple queries.
Regards,
James",Technical Issue,Low
INC-2026021,"Hello, I requested a refund of $49 last week but haven't received it yet.",Billing,High
INC-2026022,"I want to request a demo of your enterprise plan for my team.
Best regards,
Daniel",General Query,Low
INC-2026023,My payment failed but money was deducted from my bank account.,Billing,High
INC-2026024,"Dear Support, Do you support integration with Slack or Microsoft Teams?",General Query,Low
INC-2026025,Why was I charged $229 this month instead of the usual $70?,Billing,Medium
INC-2026026,"My account has been suspended and I don't know why. Please reactivate.
Regards,
John",Account Access,High
INC-2026027,"I requested a refund of $98 last week but haven't received it yet.
- Michael",Billing,High
INC-2026028,"Good morning, The search bar returns incorrect results for simple queries.
- Daniel",Technical Issue,Low
INC-2026029,"I found a bug: the submit button is greyed out even when forms are complete.
- Robert",Technical Issue,Medium
INC-2026030,"Dear Support, How do I add a new team member to my organization profile?
Best regards,
Michael",Account Access,Low
INC-2026031,"Hi, The application is extremely slow and takes minutes to load pages.
Thanks,
Megan",Technical Issue,High
INC-2026032,"Hello team, My billing account is locked and I cannot process the invoice payment.
Thank you,
Sarah",Billing,High
INC-2026033,"I wanted to share some feedback: the new UI looks really clean!
Sincerely,
Daniel",General Query,Low
INC-2026034,"How do I upgrade my subscription plan to premium?
- Megan",Account Access,Low
INC-2026035,"Is your service compatible with Internet Explorer 11?
Thank you,
Ashley",General Query,Low
INC-2026036,"Hello, The mobile app freezes and closes automatically when opening reports.
- Megan",Technical Issue,Medium
INC-2026037,"Good morning, I requested a refund of $44 last week but haven't received it yet.",Billing,High
INC-2026038,"Dear Support, I want to request a demo of your enterprise plan for my team.
- James",General Query,Low
INC-2026039,"Hi support team, I found a bug: the submit button is greyed out even when forms are complete.
Regards,
Emily",Technical Issue,Medium
INC-2026040,"Hello team, Is your service compatible with Internet Explorer 11?",General Query,Low
INC-2026041,"I cannot log in to my account. It says password incorrect or user not found.
Sincerely,
Megan",Account Access,Medium
INC-2026042,"My profile information is not updating when I save changes.
Thank you,
Jessica",Account Access,Low
INC-2026043,"Hey, Can you tell me more about your security and data compliance policies?
- Jessica",General Query,Low
INC-2026044,"Database connection timeout error when saving my work on Slack.
Best regards,
Ashley",Technical Issue,High
INC-2026045,"Dear Support, Can you merge my two accounts into a single one?",Account Access,Low
INC-2026046,"Hey, The search bar returns incorrect results for simple queries.",Technical Issue,Low
INC-2026047,"Greetings, We are experiencing an API outage and all requests are returning 500 server errors.",Technical Issue,High
INC-2026048,"Hello, I received a payment failure notification but my credit card has sufficient funds.",Billing,Medium
INC-2026049,"Good morning, Can you reset my password? I forgot it and need access.
- Ashley",Account Access,Low
INC-2026050,"Hi, I received a payment failure notification but my credit card has sufficient funds.",Billing,Medium
INC-2026051,"Dear Support, What are the system requirements for running your software?
- Sarah",General Query,Low
INC-2026052,"Good morning, I am unable to receive password reset emails. The mail server seems down.
- Ashley",Technical Issue,High
INC-2026053,"Hello, When is the new feature update scheduled for release?
Sincerely,
Sarah",General Query,Low
INC-2026054,"Good morning, My profile information is not updating when I save changes.
Sincerely,
James",Account Access,Low
INC-2026055,Can I get a copy of my invoice for May 2026?,Billing,Low
INC-2026056,"Hello, I wanted to share some feedback: the new UI looks really clean!",General Query,Low
INC-2026057,"Dear Support, We are experiencing an API outage and all requests are returning 500 server errors.
Thanks,
Daniel",Technical Issue,High
INC-2026058,Do you offer discounts for non-profit organizations or educational schools?,General Query,Low
INC-2026059,"Hello team, Database connection timeout error when saving my work on Slack.
- Emily",Technical Issue,High
INC-2026060,"Hi, When is the new feature update scheduled for release?
Thanks,
Jessica",General Query,Low
INC-2026061,"Hi, My data has not synced between the web app and the mobile application.",Technical Issue,Medium
